"student_id","school_id","grade","class","q1","q2","q3","q4","q5","q6","q7","q8","complete_survey"
"0hIoq@cunb.edu","812",8,"A","Very much","Slightly","Somewhat","Disagree","Strongly agree","Agree","Strongly disagree","Enroll in an university",1
"0JGtI@cunb.edu","458",8,"A","Slightly","Somewhat","Much","Neutral","Disagree","Agree","Strongly disagree","I don't know",1
"0PATX@cunb.edu","946",8,"C","Much","Somewhat","Very much","Strongly agree","Strongly agree","Neutral","Strongly disagree","Work after finishing school",1
"0PYm6@cunb.edu","812",7,"B","Much","Much","Much","Agree","Disagree","Agree","Strongly disagree","Enroll in an university",1
"0WFMz@cunb.edu","812",8,"D","Slightly","Very much","Not at all","Neutral","Disagree","Strongly agree","Disagree","I don't know",1
"18g2f@cunb.edu","881",6,"A","Much","Not at all","Not at all","Strongly disagree","Neutral","Strongly agree","Agree","Enroll in a technical institute",1
"1IHqe@cunb.edu","812",7,"A","Not at all","Not at all","Not at all","Neutral","Disagree","Neutral","Disagree","Enroll in a  professional/vocational institute",1
"1kRmv@cunb.edu","057",8,"A","Not at all","Somewhat","Much","Disagree","Disagree","Strongly agree","Strongly disagree","Enroll in high school",1
"2cGXT@cunb.edu","458",7,"C","Much","Somewhat","Slightly","Disagree","Strongly agree","Strongly agree","Neutral","I don't know",1
"2jOWf@cunb.edu","426",8,"B","Somewhat","Slightly","Very much","Neutral","Strongly disagree","Disagree","Neutral","Enroll in a technical institute",1
"2MAO9@cunb.edu","499",8,"C","Slightly","Very much","Not at all","Strongly agree","Neutral","Strongly agree","Disagree","I don't know",1
"2mjto@cunb.edu","141",6,"B","Much","Much","Slightly","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Enroll in a  professional/vocational institute",1
"2XgrS@cunb.edu","881",6,"B","Somewhat","Slightly","Slightly","Neutral","Neutral","Strongly agree","Strongly disagree","I don't know",1
"32CUr@cunb.edu","262",6,"B","Very much","Much","Not at all","Disagree","Strongly agree","Neutral","Strongly disagree","Enroll in an university",1
"37TBM@cunb.edu","458",8,"A","Very much","Much","Somewhat","Disagree","Strongly agree","Strongly agree","Neutral","I don't know",1
"3cxLM@cunb.edu","141",8,"A","Very much","Not at all","Not at all","Agree","Agree","Neutral","Neutral","Enroll in a  professional/vocational institute",1
